timestamp	time	fix	state	rawx	rawy	avgx	avgy	psize	Lrawx	Lrawy	Lavgx	Lavgy	Lpsize	Lpupilx	Lpupily	Rrawx	Rrawy	Ravgx	Ravgy	Rpsize	Rpupilx	Rpupily
MSG	2020-08-11 13:32:44.469.0	516672139	distance between participant and display: 80.0 cm
MSG	2020-08-11 13:32:44.470.0	516672140	fixation threshold: 84.50699946982103 pixels
MSG	2020-08-11 13:32:44.471.0	516672141	speed threshold: 1.971379721932369 pixels/ms
MSG	2020-08-11 13:32:44.472.0	516672142	acceleration threshold: 540.0467476219163 pixels/ms**2
MSG	2020-08-11 13:32:44.473.0	516672143	pygaze calibration report end
MSG	2020-08-11 13:32:50.616.0	516678317	start_recording
MSG	2020-08-11 13:32:50.616.0	516678317	TRIALSTART 0
MSG	2020-08-11 13:32:50.621.0	516678322	IMAGENAME domino_01.png
2020-08-11 13:32:50.588	516678300	True	7	1000.1345	579.9553	951.3262	557.2558	25.380650000000003	1039.1682	583.0289	1039.1682	583.0289	24.8316	0.3101	0.4908	961.1007	576.8818	939.6683	573.4068	25.9297	0.4503	0.4955
MSG	2020-08-11 13:32:50.635.0	516678311	image online at 57887
2020-08-11 13:32:50.621	516678333	True	7	1003.7698	549.1979	954.0029	557.8094	25.37055	1046.1102	538.8975	1042.6437	560.935	24.6863	0.3101	0.4914	961.4293	559.4983	941.8091	572.1792	26.0548	0.4503	0.4957
2020-08-11 13:32:50.655	516678367	True	7	979.843	525.2087	956.8203	557.7077	25.34695	1020.6393	520.6724	1035.2837	547.4197	24.8099	0.3101	0.4915	939.0468	529.7451	941.7366	568.5153	25.884	0.4502	0.4958
2020-08-11 13:32:50.687	516678399	True	7	970.2542	530.8905	958.7773	557.4553	25.3489	1001.7964	522.5874	1026.8134	541.077	24.758	0.3103	0.4917	938.7118	539.1935	941.6338	566.0247	25.9398	0.4504	0.4959
2020-08-11 13:32:50.754	516678466	True	7	958.4757	552.9934	962.3691	556.5588	25.360149999999997	993.2402	515.8943	1017.7484	533.7792	24.8999	0.3111	0.4921	923.7111	590.0926	939.4795	567.6411	25.8204	0.4511	0.4968
2020-08-11 13:32:50.787	516678499	True	7	981.4407	569.47	963.4658	556.4365	24.990850000000002	1012.4531	560.6725	1016.8359	537.6149	24.313	0.3116	0.4927	950.4282	578.2675	940.2985	568.3383	25.6687	0.4516	0.4974
2020-08-11 13:32:50.820	516678532	True	7	991.1616	557.4941	964.7012	556.2183	25.07545	1028.2285	547.2328	1018.2004	538.8077	24.4414	0.312	0.4927	954.0947	567.7554	941.3101	568.259	25.7095	0.452	0.4974
2020-08-11 13:32:50.854	516678566	True	7	988.0322	537.5159	967.2128	555.4031	24.8985	994.7379	505.6893	1015.3575	534.88	24.3341	0.3122	0.4924	981.3266	569.3423	944.0947	568.2958	25.4629	0.4524	0.4976
2020-08-11 13:32:50.887	516678599	True	7	976.6183	547.1622	968.5998	555.0112	24.80595	992.5496	538.6027	1012.7875	535.1813	24.1515	0.3127	0.4927	960.6871	555.7218	945.3572	567.4366	25.4604	0.4526	0.4979
2020-08-11 13:32:50.954	516678666	True	7	959.3438	600.2056	971.851	555.7136	24.353099999999998	967.1288	587.788	1012.0396	535.9824	23.679	0.313	0.4929	951.5588	612.623	951.5588	612.623	25.0272	0.4531	0.4984
2020-08-11 13:32:50.987	516678699	True	7	979.782	544.5258	974.1942	555.4437	23.817549999999997	969.4233	556.5728	1008.185	537.7494	23.246	0.3132	0.493	990.1408	532.4787	970.8745	572.4998	24.3891	0.4534	0.4985
2020-08-11 13:32:51.053	516678765	True	7	924.4907	520.1927	976.2022	557.8181	22.072	877.3792	466.6302	877.3792	466.6302	21.119	0.3132	0.4922	971.6022	573.7552	973.4188	573.692	23.025	0.4535	0.4982
2020-08-11 13:32:51.087	516678799	True	7	956.3312	533.2315	975.7553	556.7249	21.36055	940.4553	496.8841	940.4553	496.8841	20.3585	0.3134	0.4923	972.2072	569.579	973.1976	572.8209	22.3626	0.4536	0.4981
2020-08-11 13:32:51.121	516678833	True	7	957.993	510.9474	975.4604	554.6855	20.426949999999998	972.3229	467.3247	956.4094	482.0855	19.3943	0.3133	0.4921	943.663	554.57	968.1782	569.6715	21.4596	0.4534	0.498
